,Unnamed: 0,Unnamed: 0.1,host_is_superhost,neighbourhood_cleansed,room_type,accommodates,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count
17396,19476,19476,0,1,1,5,1.0,2.0,3.0,270.0,3,1125,4.0,4.0,10.0,6.0,8.0,2.0,0,4
17398,19479,19479,0,6,2,1,1.0,1.0,1.0,90.0,3,4,5.0,5.0,5.0,5.0,5.0,5.0,1,1
17399,19480,19480,0,10,2,1,1.0,1.0,1.0,122.0,2,4,10.0,10.0,10.0,10.0,10.0,10.0,0,1
17400,19481,19481,1,1,1,2,1.0,1.0,1.0,357.0,1,365,10.0,10.0,10.0,10.0,10.0,10.0,1,22
17401,19482,19482,0,6,2,2,1.0,1.0,1.0,611.0,1,365,5.0,5.0,5.0,5.0,5.0,5.0,1,1
17402,19484,19484,1,2,1,5,1.0,3.0,3.0,385.0,1,1125,5.0,5.0,5.0,5.0,5.0,5.0,1,4
17403,19486,19486,0,4,2,3,1.0,1.0,2.0,80.0,1,30,9.0,9.0,9.0,8.0,10.0,10.0,1,1
17404,19487,19487,0,3,1,4,1.0,2.0,3.0,212.0,1,1125,5.0,5.0,5.0,5.0,5.0,5.0,0,1
17405,19490,19490,0,1,1,3,1.0,1.0,2.0,443.0,2,1125,5.0,5.0,5.0,5.0,5.0,5.0,1,1
17406,19491,19491,0,21,1,4,1.0,1.0,2.0,318.0,4,1125,10.0,10.0,10.0,10.0,9.0,10.0,1,2
17407,19492,19492,0,6,2,1,1.0,1.0,1.0,80.0,1,1125,5.0,5.0,5.0,5.0,5.0,5.0,1,3
17408,19493,19493,0,1,2,2,1.0,1.0,1.0,119.0,2,100,9.0,9.0,10.0,9.0,10.0,9.0,1,10
17409,19494,19494,0,1,1,2,2.0,1.0,1.0,476.0,3,1125,5.0,5.0,5.0,5.0,5.0,5.0,0,1
17410,19495,19495,0,1,1,4,1.0,2.0,2.0,450.0,1,1125,10.0,10.0,9.0,9.0,10.0,10.0,1,6
17412,19497,19497,0,1,1,4,1.0,1.0,2.0,198.0,1,1125,10.0,5.0,10.0,10.0,10.0,7.0,0,11
17413,19498,19498,0,1,1,2,1.0,1.0,2.0,238.0,2,30,5.0,5.0,5.0,5.0,5.0,5.0,1,6
17414,19499,19499,0,2,1,4,1.0,1.0,2.0,140.0,4,1125,10.0,9.0,10.0,10.0,10.0,10.0,1,2
17416,19501,19501,0,4,2,4,1.0,2.0,0.0,285.0,1,30,5.0,5.0,5.0,5.0,5.0,5.0,1,1
17417,19502,19502,0,1,2,4,1.0,2.0,2.0,341.0,1,30,5.0,5.0,5.0,5.0,5.0,5.0,1,7
17418,19503,19503,0,1,2,2,1.0,1.0,2.0,218.0,1,1125,5.0,5.0,5.0,5.0,5.0,5.0,1,7
17419,19504,19504,0,1,2,3,1.0,1.0,2.0,258.0,1,1125,8.0,7.0,7.0,7.0,8.0,8.0,1,7
17420,19505,19505,0,1,2,3,1.0,1.0,2.0,302.0,1,1125,5.0,5.0,5.0,5.0,5.0,5.0,1,7
17421,19506,19506,0,1,2,4,1.0,2.0,2.0,386.0,1,1125,9.0,8.0,9.0,9.0,9.0,8.0,1,7
17422,19507,19507,0,19,2,3,1.0,1.0,2.0,200.0,1,1125,10.0,8.0,10.0,10.0,10.0,10.0,1,2
17423,19508,19508,0,19,2,2,1.0,1.0,1.0,200.0,1,365,5.0,5.0,5.0,5.0,5.0,5.0,1,2
17424,19509,19509,0,3,2,2,1.0,1.0,1.0,155.0,1,28,10.0,10.0,10.0,10.0,10.0,10.0,1,8
17425,19511,19511,1,1,2,2,1.0,1.0,1.0,687.0,1,1125,5.0,5.0,5.0,5.0,5.0,5.0,1,22
17426,19512,19512,0,20,4,4,1.0,1.0,4.0,80.0,1,365,5.0,5.0,5.0,5.0,5.0,5.0,1,1
17427,19513,19513,0,3,1,2,1.0,1.0,2.0,285.0,1,1125,5.0,5.0,5.0,5.0,5.0,5.0,1,4
17428,19515,19515,0,3,2,2,1.0,1.0,1.0,143.0,3,3,5.0,5.0,5.0,5.0,5.0,5.0,1,1
17429,19516,19516,0,3,2,2,1.0,1.0,1.0,184.0,1,1125,10.0,10.0,10.0,10.0,10.0,9.0,1,8
17430,19518,19518,0,1,2,2,1.0,1.0,1.0,191.0,1,30,10.0,9.0,10.0,10.0,10.0,10.0,1,3
17431,19519,19519,0,21,1,5,2.0,2.0,2.0,465.0,3,999,10.0,8.0,10.0,10.0,10.0,8.0,0,13
17432,19520,19520,0,3,2,4,1.0,1.0,4.0,222.0,1,1125,5.0,5.0,5.0,5.0,5.0,5.0,1,8
17433,19521,19521,0,23,1,2,1.0,1.0,1.0,686.0,1,1125,10.0,10.0,10.0,10.0,10.0,9.0,1,1
17434,19522,19522,0,10,2,2,1.0,1.0,1.0,230.0,1,1125,7.0,6.0,7.0,5.0,8.0,7.0,1,26
17435,19523,19523,0,10,2,2,1.0,1.0,1.0,220.0,1,1125,5.0,5.0,5.0,5.0,5.0,5.0,1,26
17436,19524,19524,0,10,2,2,1.0,1.0,1.0,240.0,1,1125,10.0,10.0,9.0,10.0,10.0,9.0,1,26
17437,19525,19525,0,10,2,2,1.0,1.0,1.0,250.0,1,1125,9.0,10.0,10.0,9.0,7.0,9.0,1,26
17438,19526,19526,0,11,1,4,1.0,2.0,2.0,448.0,2,30,10.0,10.0,10.0,10.0,10.0,10.0,1,1
17440,19528,19528,0,2,1,2,1.0,1.0,1.0,199.0,1,1125,10.0,10.0,10.0,10.0,10.0,10.0,1,3
17442,19530,19530,0,5,1,5,1.0,2.0,3.0,635.0,2,1125,10.0,10.0,10.0,10.0,10.0,10.0,0,5
17443,19531,19531,0,2,1,2,1.0,1.0,1.0,249.0,1,1125,8.0,8.0,6.0,7.0,7.0,7.0,1,3
17444,19532,19532,0,3,2,2,1.0,1.0,2.0,152.0,1,30,5.0,5.0,5.0,5.0,5.0,5.0,1,8
17445,19533,19533,0,2,2,2,1.0,1.0,1.0,89.0,1,1125,5.0,5.0,5.0,5.0,5.0,5.0,1,1
17446,19534,19534,0,7,2,1,1.0,1.0,1.0,80.0,1,365,5.0,5.0,5.0,5.0,5.0,5.0,1,1
17447,19535,19535,0,1,2,2,1.0,1.0,2.0,190.0,1,1125,5.0,5.0,5.0,5.0,5.0,5.0,0,7
