host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,room_type,accommodates,bathrooms_text,bedrooms,beds,minimum_nights,maximum_nights,has_availability,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,reviews_per_month,price
within an hour,100.0,100.0,1.0,9.0,9.0,1.0,1.0,1,1,5,1,1.0,2.0,2,1125,1,100,7,1,94.0,10.0,10.0,10.0,10.0,10.0,9.0,1,9,1.31,305.0
within an hour,100.0,100.0,1.0,9.0,9.0,1.0,1.0,1,1,3,1,,1.0,2,1124,1,155,14,3,94.0,10.0,9.0,10.0,10.0,9.0,9.0,1,9,1.96,307.0
within an hour,100.0,100.0,0.0,7.0,7.0,1.0,0.0,1,2,1,2,1.0,1.0,1,30,1,2,0,0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1,8,0.02,86.0
,,,0.0,1.0,1.0,1.0,0.0,4,2,1,1,1.0,1.0,2,30,1,0,0,0,,,,,,,,1,1,,333.0
within a day,100.0,0.0,0.0,4.0,4.0,1.0,0.0,1,1,6,2.5,2.0,4.0,60,365,1,68,0,0,97.0,9.0,9.0,10.0,10.0,10.0,9.0,0,1,0.68,523.0
within an hour,97.0,70.0,0.0,1.0,1.0,1.0,1.0,1,1,3,1,1.0,2.0,1,450,1,126,1,0,95.0,9.0,9.0,10.0,10.0,10.0,9.0,0,12,1.21,270.0
within a few hours,100.0,43.0,0.0,1.0,1.0,1.0,0.0,20,1,5,1,3.0,3.0,2,1125,1,26,1,0,96.0,10.0,9.0,10.0,10.0,10.0,9.0,0,1,0.26,674.0
,,,0.0,1.0,1.0,1.0,0.0,5,2,2,1,1.0,1.0,1,1125,1,0,0,0,,,,,,,,0,1,,1563.0
within a few hours,100.0,100.0,1.0,2.0,2.0,1.0,1.0,11,2,2,2,1.0,1.0,3,1125,1,13,5,1,97.0,10.0,10.0,10.0,10.0,9.0,10.0,0,2,0.13,165.0
within a day,100.0,83.0,0.0,2.0,2.0,1.0,1.0,4,1,8,1,3.0,4.0,3,1125,1,72,3,0,84.0,9.0,7.0,9.0,9.0,10.0,9.0,0,2,0.69,428.0
within an hour,97.0,70.0,0.0,1.0,1.0,1.0,1.0,1,1,3,1,1.0,2.0,2,450,1,68,1,1,93.0,9.0,8.0,9.0,9.0,10.0,9.0,0,12,0.65,235.0
,,,0.0,1.0,1.0,1.0,1.0,2,2,2,1,1.0,1.0,3,14,1,6,0,0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0,1,0.06,448.0
,,,0.0,6.0,6.0,1.0,0.0,1,1,3,1,1.0,2.0,4,1125,1,12,0,0,96.0,10.0,10.0,10.0,10.0,9.0,9.0,0,7,0.12,9506.0
within a few hours,100.0,,0.0,1.0,1.0,1.0,1.0,5,1,4,1,2.0,3.0,3,15,1,0,0,0,,,,,,,,0,1,,201.0
within an hour,100.0,100.0,0.0,4.0,4.0,1.0,1.0,1,1,6,1,2.0,3.0,4,60,1,70,1,0,97.0,10.0,10.0,10.0,10.0,10.0,9.0,0,4,0.68,1200.0
within an hour,100.0,100.0,0.0,7.0,7.0,1.0,0.0,1,2,1,2,1.0,1.0,2,99,1,9,1,1,78.0,7.0,8.0,9.0,8.0,9.0,8.0,1,8,0.09,143.0
within an hour,100.0,100.0,1.0,3.0,3.0,1.0,1.0,1,1,3,1,,2.0,3,30,1,100,16,3,98.0,10.0,10.0,10.0,10.0,10.0,10.0,1,3,0.98,285.0
